Initialized
Press Enter to quit...
Connected
Frame id: 232947, timestamp: 1554657659558386, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232948, timestamp: 1554657659575809, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232949, timestamp: 1554657659593054, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232950, timestamp: 1554657659610477, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232951, timestamp: 1554657659627913, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232952, timestamp: 1554657659645113, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232953, timestamp: 1554657659662463, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232954, timestamp: 1554657659679851, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232955, timestamp: 1554657659697167, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232956, timestamp: 1554657659714419, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232957, timestamp: 1554657659731879, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232958, timestamp: 1554657659749182, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232959, timestamp: 1554657659766549, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232960, timestamp: 1554657659783903, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232961, timestamp: 1554657659801187, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232962, timestamp: 1554657659818633, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232963, timestamp: 1554657659835956, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232964, timestamp: 1554657659853259, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232965, timestamp: 1554657659870655, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232966, timestamp: 1554657659888014, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232967, timestamp: 1554657659905293, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232968, timestamp: 1554657659922713, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232969, timestamp: 1554657659940027, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232970, timestamp: 1554657659957389, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232971, timestamp: 1554657659974703, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232972, timestamp: 1554657659992060, hands: 0, fingers: 0, tools: 0, gestures: 0
